time_elapsed,explained_variance,clip_range,value_loss,entropy,fps,total_timesteps,iterations,std,ep_reward_mean,policy_loss
411583.0,0.9620404839515686,0.1,20.889885,0.79754364,59.0,24395776.0,1489.0,0.5417932,0.3824148212076297,0.008314153
411827.0,0.9668568223714828,0.1,14.273648,0.7971659,59.0,24412160.0,1490.0,0.5414568,0.3877133549381882,0.002156578
412125.0,0.9711972754448652,0.1,25.760443,0.797212,59.0,24428544.0,1491.0,0.54149127,0.3882098041750244,0.0099549405
412432.0,0.9625594913959504,0.1,18.833677,0.79583627,59.0,24444928.0,1492.0,0.5407573,0.3879035575784956,-0.0005944297
412718.0,0.9601835012435912,0.1,26.183073,0.7941166,59.0,24461312.0,1493.0,0.5397091,0.3825894146622067,0.007540687
413050.0,0.9777503814548254,0.1,4.245487,0.7969572,59.0,24477696.0,1494.0,0.54146844,0.3887455460477557,-0.00061059184
413355.0,0.9672109745442868,0.1,9.241619,0.7965852,59.0,24494080.0,1495.0,0.5412305,0.3875888619245747,-0.0026017204
413644.0,0.9651862308382988,0.1,9.647602,0.79743516,59.0,24510464.0,1496.0,0.5416684,0.3920091916342147,0.0127853025
413907.0,0.9626875631511213,0.1,20.738636,0.7999676,59.0,24526848.0,1497.0,0.5429386,0.3919871074056465,0.009025051
414174.0,0.9675202444195748,0.1,3.8555512,0.8000371,59.0,24543232.0,1498.0,0.54307556,0.3948709904352169,0.008533964
414420.0,0.9702995829284192,0.1,5.6640854,0.799452,59.0,24559616.0,1499.0,0.54280406,0.3905297337040321,0.0004754262
414673.0,0.973398257046938,0.1,10.153888,0.7999546,59.0,24576000.0,1500.0,0.5430617,0.3832195419781913,0.0033764206
414935.0,0.9719992633908988,0.1,10.447771,0.7975318,59.0,24592384.0,1501.0,0.54173636,0.3872142102983378,-0.0024246946
415216.0,0.970199754461646,0.1,9.245031,0.79663354,59.0,24608768.0,1502.0,0.54122055,0.3867432540317164,0.0048506977
415481.0,0.975425485521555,0.1,8.258252,0.7958018,59.0,24625152.0,1503.0,0.54067427,0.3918485789441733,-0.00037949672
415784.0,0.966577649116516,0.1,15.70581,0.7980892,59.0,24641536.0,1504.0,0.5421356,0.3876067621770474,0.00049647735
416097.0,0.969782879576087,0.1,33.76616,0.79870886,59.0,24657920.0,1505.0,0.5424737,0.3861679928610617,0.0035882038
416392.0,0.9591962248086928,0.1,14.731008,0.801013,59.0,24674304.0,1506.0,0.54371154,0.3874323574536529,-0.0014121323
416668.0,0.9698203187435864,0.1,5.942194,0.8001396,59.0,24690688.0,1507.0,0.5430842,0.3876348208943033,0.002969075
416978.0,0.9633717834949492,0.1,16.009148,0.79882556,59.0,24707072.0,1508.0,0.54255307,0.3880277257071955,-0.0035520792
417287.0,0.9615043215453624,0.1,24.831348,0.79787123,59.0,24723456.0,1509.0,0.5420985,0.3903064793684405,-0.003083292
